title,truth,pred
Afghan Legislator Killed in Bomb Attack,0,0
Jonathan Ross announces departure from BBC,0,0
Purdue Finally Advances Past North Carolina,0,0
Scholarships awarded to isolated pacific islanders in Micronesia,0,0
Gallinari Eyes Return Despite Back Pain,0,0
The 24 Best Fiction Books Of 2015,1,1
This Is The Only Way You Should Be Eating Pumpkin Pie,1,1
The 27 Most Important Things Cats Did On The Internet In 2015,1,1
"How Well Do You Know ""Portlandia""",1,1
"If You Were A Herb, What Would Your Name Be",1,1
